Авторы,Идентификатор автора(ов),Название,Год,Название источника,Цитирования,Ссылка,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Язык оригинального документа,Тип документа,Источник,EID
"Shapoval A., Le Mouël J.L., Courtillot V., Shnirman M.","10144240900;7006534497;7007184416;6602725009;","Two regimes in the regularity of sunspot number",2013,"Astrophysical Journal",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890054685&doi=10.1088%2f0004-637X%2f779%2f2%2f108&partnerID=40&md5=b265419d7ac7d8fafd0ed42cadd679bc","Sunspot numbers WN display quasi-periodical variations that undergo regime changes. These irregularities could indicate a chaotic system and be measured by Lyapunov exponents. We define a functional λ (an ""irregularity index"") that is close to the (maximal) Lyapunov exponent for dynamical systems and well defined for series with a random component: this allows one to work with sunspot numbers. We compute λ for the daily WN from 1850 to 2012 within 4 yr sliding windows: λ exhibit sharp maxima at solar minima and secondary maxima at solar maxima. This pattern is reflected in the ratio R of the amplitudes of the main versus secondary peaks. Two regimes have alternated in the past 150 yr, R1 from 1850 to 1915 (large λ and R values) and R2 from 1935 to 2005 (shrinking difference between main and secondary maxima, R values between 1 and 2). We build an autoregressive model consisting of Poisson noise plus an 11 yr cycle and compute its irregularity index. The transition from R1 to R2 can be reproduced by strengthening the autocorrelation a of the model series. The features of the two regimes are stable for model and WN with respect to embedding dimension and delay. Near the time of the last solar minimum (2008), the irregularity index exhibits a peak similar to the peaks observed before 1915. This might signal a regime change back from R2 to R1 and the onset of a significant decrease of solar activity. © 2013. The American Astronomical Society. All rights reserved..","Chaos; Sun: activity; Sun: general; sunspots",,"English",Article,Scopus,2-s2.0-84890054685
"Kormina J.V.","55966057700;","Russian saint under construction: Portraits and icons of Starets Nikolay",2013,"Archives de Sciences Sociales des Religions",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890411583&doi=10.4000%2fassr.25074&partnerID=40&md5=2b0a1b48bec5fb52617fdd17f5f004e0","How to analyze the process of creation and promotion of a new type of saints, the so-called startsy (the elders), which emerged in the Russian Orthodox Church at the end of the 1990s? The debates about the ""styles"" of sanctity addressed by the term starets are supported by different groups of believers. These groups support different strategies to articulate the charisma embodied in starets in terms of its legitimization and characteristics. These tendencies are studied, using as an example the ""career of starets"" of the village priest from a remote island in the Pskovskoe lake that is located 30 km from the Russian-Estonian border. © Archives de sciences sociales des religions.","Hagiography; Pilgrimage; Popular religion; Religious practices; Russian Orthodox Church; Veneration of saints",,"English",Article,Scopus,2-s2.0-84890411583
"Makarova V.A.","55948109900;","The analysis of current enterprise-wide risk management system in russian companies",2013,"Middle East Journal of Scientific Research",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890336378&doi=10.5829%2fidosi.mejsr.2013.17.05.12269&partnerID=40&md5=01239bf2cee81998fccfc6a89232cf7a","Risk-management and financial management are going to become the main components of corporate economic governance. All existing theories of financial management consist both of financial analysis, planning and allowance for the implied volatility of future incomes and costs. According to the methodology of a systematic analysis, an enterprise-wide risk management system must be presented as a multi-level system, which involves all employees in the process of risk management. This study is dedicated to features of risk management implementation for Russian companies. Methodology approach is based upon the idea that the levels of company governance may create a strong value oriented risk management system, while the standards provide the matching of stock exchange requirements. We made the assumption that not all Russian companies are equally exposed to the risks, the level of exposure estimates by measurement of differences between the actual value-based indicators and forecasted. Also the problem of effectiveness assessment of risk-management is unsolved. This paper is an attempt to fill this gap. © IDOSI Publications, 2013.","Gradual restructuring of company management Value-oriented risk management; Levels of management; Risk management implementation",,"English",Article,Scopus,2-s2.0-84890336378
"Radaev V.","57198420405;","Does competition eliminate social ties?: The case of the russian retail market",2013,"Polish Sociological Review",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890333864&partnerID=40&md5=0790c87676be20f6040016724c2c05cc","Conventional economic theories assume that competing firms act independently. This theoretical assumption is applied to economic policies and anti-trust legislation. In contrast, economic sociology describes competition as a special type of social action that is oriented towards others. More specifically, to remain in the market, competing firms monitor one another and cooperate by establishing inter-organisational social ties. This paper demonstrates that increasing market pressures, including higher levels of competition and stronger bargaining power among exchange partners, does not disrupt social ties but promotes them. Data for the analysis were collected in 2007 from 501 managers of retail chains and their suppliers in five Russia's cities (Moscow, Saint Petersburg, Yekaterinburg, Novosibirsk, and Tyumen). The sample includes firms of different sizes that operate in the food and electronics sectors of the consumer market.","Economic sociology; Embeddedness; Markets; Russia; Social networks",,"English",Article,Scopus,2-s2.0-84890333864
"Gurkov I., Filippov S.","6603320551;24586990700;","Innovation Processes in the Russian Manufacturing Subsidiaries of Multinational Corporations: An Integrated View from Case Studies",2013,"Journal of East-West Business",14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890395306&doi=10.1080%2f10669868.2013.845870&partnerID=40&md5=e7cccea46f7a82ff20b1777c9fbb30cc","The extant literature acknowledges the role of overseas subsidiaries in the growth and development of multinational companies (MNCs). Such subsidiaries are viewed as critical players in the innovation process at MNCs. This topic remains largely under-researched in the Russian context. This study aims to fill this gap by examining the dynamics of the innovation process in Russian-based subsidiaries of global MNCs. We present qualitative findings that indicate Russian subsidiaries are not only recipients of knowledge and technology developed elsewhere in the MNCs but are active developers of innovative products and solutions. © 2013 Copyright Taylor and Francis Group, LLC.","innovations; multinational corporations; Russia; subsidiaries","innovation; manufacturing; multinational enterprise; technological development; Russian Federation","English",Article,Scopus,2-s2.0-84890395306
"Efimkin D.K., Lozovik Y.E.","37115353600;16421007700;","Drag effect and Cooper electron-hole pair fluctuations in a topological insulator film",2013,"Physical Review B - Condensed Matter and Materials Physics",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892408879&doi=10.1103%2fPhysRevB.88.235420&partnerID=40&md5=fc92db6999379f2cb2cd32fab19d8ce3","Manifestations of fluctuating Cooper pairs formed by electrons and holes populating opposite surfaces of a topological insulator film in the Coulomb drag effect are considered. A fluctuational Aslamazov-Larkin contribution to the transresistance between surfaces of the film is calculated. The contribution is the most singular one in the vicinity of critical temperature T d and diverges in the critical manner as ( T - T d )- 1. In the realistic conditions γ∼T d , where γ is the average scattering rate of electrons and holes, the Aslamazov-Larkin contribution plays an important role and can dominate the fluctuation transport. The macroscopic theory based on the time-dependent Ginzburg-Landau equation is developed for a description of the transport in the system. The results can be easily generalized for other realizations of an electron-hole bilayer. © 2013 American Physical Society.",,,"English",Article,Scopus,2-s2.0-84892408879
"Petrosjanc K.O., Kharitonov I.A.","6602577918;56711354200;","Account for radiation effects in signal integrity analysis of PCB digital systems",2013,"Proceedings - 16th Euromicro Conference on Digital System Design, DSD 2013",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890082928&doi=10.1109%2fDSD.2013.118&partnerID=40&md5=0ec41b7e8a0db6fc8efa2aa4f710da34","A method of account for radiation effects (total dose and particle fluence) in signal integrity analysis of digital system by using IBIS model is presented. It is shown that account for these effects in IBIS models can be performed by correction the input impedances of protection circuits (GND-Clamp and POWER-Clamp), output MOSFETs (PULL-UP, PULL-DOWN) characteristics and RAMP parameters in according with the known physical relations. Examples of digital IC output and cross talk signals simulation with Hyper Lynx software using the created IBIS model is presented. © 2013 IEEE.","Diode parameters; IBIS model; MOSFET parameters; Radiation effects; Signal integrity","Digital system; Diode parameters; Input impedance; Mosfet parameters; Particle fluence; Protection circuits; Signal Integrity; Signal integrity analysis; Computer software; Integrated circuits; Models; MOSFET devices; Polychlorinated biphenyls; Radiation effects; Systems analysis; Computer simulation","English",Conference Paper,Scopus,2-s2.0-84890082928
"Bogomazov G., Melnik D.","57192184191;57200446503;","Ricardo's writings in Russia: Influence and interpretations",2013,"Sraffa and the Reconstruction of Economic Theory: Volume Three: Sraffa's Legacy: Interpretations and Historical Perspectives",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999941138&doi=10.1057%2f9781137314048&partnerID=40&md5=4aa8b3c07f6f2a1da0c1c225acb1a4d1",[краткое описание не найдено],,,"English",Book Chapter,Scopus,2-s2.0-84999941138
"Baranov A., Panfilov P., Ponomarev D.","55960217200;24765338600;7005755869;","Powervisor: A toolset for visualizing energy consumption and heat dissipation processes in modern processor architectures",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890098027&doi=10.1007%2f978-3-642-39958-9-13&partnerID=40&md5=cc708361a46477a2ae7c2cc6f352fc36","In this paper, we present PowerVisor-a new toolset for visualizing the energy consumption and heat dissipation processes in multicore and multithreaded processors. PowerVisor uses the data on energy consumption and heat dissipation in processor's units generated by the execution-driven processor simulator. It graphically depicts the energy consumption and heat dissipation dynamics for the applications that use the processor resources such as caches, cores and interconnects. We present the implementation of PowerVisor and describe how it can be used in research and computer architecture eduication. © 2013 Springer-Verlag Berlin Heidelberg.",,"Modern processors; Multi core; Multithreaded processors; Processor resources; Toolsets; Energy utilization; Parallel architectures; Computer architecture","English",Conference Paper,Scopus,2-s2.0-84890098027
"Mavletova A., Couper M.P.","55925164500;7005131557;","Sensitive topics in PC web and mobile web surveys: Is there a difference?",2013,"Survey Research Methods",34,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890058064&partnerID=40&md5=8cc24a4796e96c8903143329788c26db","A large number of findings in survey research suggest that responses to sensitive questions are situational and can vary in relation to context. The methodological literature demonstrates that social desirability biases are less prevalent in self-administered surveys, particularly in Web surveys, when there is no interviewer and less risk of presenting oneself in an unfavorable light. Since there is a growing number of users of mobile Web browsers, we focused our study on the effects of different devices (PC or cell phone) in Web surveys on the respondents' willingness to report sensitive information. To reduce selection bias, we carried out a two-wave cross-over experiment using a volunteer online access-panel in Russia. Participants were asked to complete the questionnaire in both survey modes: PC and mobile Web survey. We hypothesized that features of mobile Web usage may affect response accuracy and lead to more socially desirable responses compared to the PC Web survey mode. We found significant differences in the reporting of alcohol consumption by mode, consistent with our hypothesis. But other sensitive questions did not show similar effects. We also found that the presence of familiar bystanders had an impact on the responses, while the presence of strangers did not have any significant effect in either survey mode. Contrary to expectations, we did not find evidence of a positive impact of completing the questionnaire at home and trust in data confidentiality on the level of reporting. These results could help survey practitioners to design and improve data quality in Web surveys completed on different devices. © European Survey Research Association.","Data quality; Interview setting; Mobile web surveys; Perceived privacy; Presence of bystanders; Sensitive questions; Web surveys",,"English",Article,Scopus,2-s2.0-84890058064
"Mikucka M., Valentova M.","12789736800;16644209600;","Employed or inactive? cross-national differences in coding parental leave beneficiaries in European labour force survey data",2013,"Survey Research Methods",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890055351&partnerID=40&md5=8e6e92a53de8f9e6ef5021d181dc3918","In survey research the parental leave beneficiaries are usually coded as either employed or inactive. An exception is the European Labor Force Survey (EU-LFS), which includes parental leave among other forms of being employed but temporarily not working. This paper explores classification of parental leave takers in EU-LFS. We show that classification rules differ cross-nationally: in some countries parental leave takers are considered inactive, in others - employed but temporarily not working. In particular in the Czech Republic, Estonia, Hungary and Slovakia the EU-LFS data classify the beneficiaries as inactive. We estimate the number of mothers on parental leave in these countries and show that EU-LFS employment rates of women aged 18-40 are biased downwards 2-7 percentage points; for mothers of children aged 0-2 the bias reaches 12-45 percentage points. Our study shows the limited comparability of EU-LFS employment rates and warns about possible bias in cross-national studies. © European Survey Research Association.","Comparative research; Employment status; Labor force survey; Maternity leave; Parental leave",,"English",Article,Scopus,2-s2.0-84890055351
"Bashkin V.A., Lomazova I.A., Novikova Y.A.","35864818900;6701413146;55960218700;","Timed resource driven automata nets for distributed real-time systems modelling",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890048860&doi=10.1007%2f978-3-642-39958-9-2&partnerID=40&md5=ce9e3f8b9a16a7f7fd01440085f68e07","The paper presents a formalism and a tool for modelling and analysis of distributed real-time systems of mobile agents. For that we use a time extension of our Resource Driven Automata Nets (TRDA-nets) formalism. A TRDA-net is a two-level system. The upper level represents distributed environment locations with a net of active resources. On the lower level agents are modeled by extended finite state machines, asynchronously consuming/producing shared resources through input/output system ports (arcs of the system net). We demonstrate modelling facilities of the formalism and show that specific layers of TRDA-nets can be translated into Timed Automata, as well as into Time Petri nets, thus TRDA-nets integrate merits of both formalisms. © 2013 Springer-Verlag Berlin Heidelberg.","Distributed systems modeling; Petri nets; real-time systems; timed automata; verification","Distributed environments; Distributed real time system; Distributed systems model; Extended finite state machine; Modelling and analysis; Shared resources; Timed Automata; Two-level system; Mobile agents; Parallel architectures; Petri nets; Real time systems; Verification; Automata theory","English",Conference Paper,Scopus,2-s2.0-84890048860
"Toporkov V., Toporkova A., Tselishchev A., Yemelyanov D.","55961546000;6507444021;24825612100;35175412600;","Slot selection algorithms in distributed computing with non-dedicated and heterogeneous resources",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890038853&doi=10.1007%2f978-3-642-39958-9-10&partnerID=40&md5=aaa1c51c0805858f1d9d06fa6f153018","In this work, we introduce slot selection and co-allocation algorithms for parallel jobs in distributed computing with non-dedicated and heterogeneous resources (clusters, CPU nodes equipped with multicore processors, networks etc.). A single slot is a time span that can be assigned to a task, which is a part of a job. The job launch requires a co-allocation of a specified number of slots starting synchronously. The challenge is that slots associated with different resources of distributed computational environments may have arbitrary start and finish points that do not match. Some existing algorithms assign a job to the first set of slots matching the resource request without any optimization (the first fit type), while other algorithms are based on an exhaustive search. In this paper, algorithms for effective slot selection of linear complexity on an available slots number are studied and compared with known approaches. The novelty of the proposed approach consists of allocating alternative sets of slots. It provides possibilities to optimize job scheduling. © 2013 Springer-Verlag Berlin Heidelberg.","batch; Distributed computing; economic scheduling; job; resource management; slot; task","batch; Economic scheduling; job; Resource management; slot; task; Complex networks; Distributed computer systems; Optimization; Parallel architectures; Scheduling; Clustering algorithms","English",Conference Paper,Scopus,2-s2.0-84890038853
"Zabrodin A.","7004036132;","Symmetric solutions of the dispersionless Toda hierarchy and associated conformal dynamics",2013,"AIP Conference Proceedings",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890019892&doi=10.1063%2f1.4828694&partnerID=40&md5=250cf412c7462d1b2c71cea5c3ae324e","Under certain reality conditions, a general solution to the dispersionless Toda lattice hierarchy describes deformations of simply-connected plane domains with a smooth boundary. The solution depends on an arbitrary (real positive) function of two variables which plays the role of a density or a conformal metric in the plane. We consider in detail the important class of symmetric solutions characterized by the density functions that depend only on the distance from the origin and that are positive and regular in an annulus r 0&lt;z&lt;r1. We construct the dispersionless tau-function which gives formal local solution to the inverse potential problem and to the Riemann mapping problem and discuss the associated conformal dynamics related to viscous flows in the Hele-Shaw cell. © 2013 AIP Publishing LLC.","conformal maps; Dispersionless Toda hierarchy; Hele-Shaw flows; inverse potential problem",,"English",Conference Paper,Scopus,2-s2.0-84890019892
"Kardakova A., Finkel M., Morozov D., Kovalyuk V., An P., Dunscombe C., Tarkhov M., Mauskopf P., Klapwijk T.M., Goltsman G.","39861647200;12767354500;56488446900;35778256000;41861081500;6506055352;16242407200;7004552857;7006694350;7006771637;","The electron-phonon relaxation time in thin superconducting titanium nitride films",2013,"Applied Physics Letters",12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891417742&doi=10.1063%2f1.4851235&partnerID=40&md5=2f4974785b60714519d322fd5bdf2a81","We report on the direct measurement of the electron-phonon relaxation time, τ eph , in disordered TiN films. Measured values of τ eph are from 5.5 ns to 88 ns in the 4.2 to 1.7 K temperature range and consistent with a T -3 temperature dependence. The electronic density of states at the Fermi level N 0 is estimated from measured material parameters. The presented results confirm that thin TiN films are promising candidate-materials for ultrasensitive superconducting detectors. © 2013 AIP Publishing LLC.",,"Direct measurement; Electron-phonon relaxation time; Material parameter; Superconducting detector; Temperature dependence; Temperature range; Titanium nitride films; Ultra sensitives; Electron-phonon interactions; Electronic density of states; Metallic films; Relaxation time; Superconductivity; Titanium nitride; Superconducting films","English",Article,Scopus,2-s2.0-84891417742
"Dmitriev M.G., Pavlov A.A., Petrov A.P.","7101635971;55946603400;57192177702;","Nonstationary fronts in the singularly perturbed power-society model",2013,"Abstract and Applied Analysis",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888876752&doi=10.1155%2f2013%2f172654&partnerID=40&md5=e12d56dacafefd744482261e259bfde6","The theory of contrasting structures in singularly perturbed boundary problems for nonlinear parabolic partial differential equations is applied to the research of formation of steady state distributions of power within the nonlinear ""power-society"" model. The interpretations of the solutions to the equation are presented in terms of applied model. The possibility theorem for the problem of getting the solution having some preassigned properties by means of parametric control is proved. © 2013 M. G. Dmitriev et al.",,,"English",Article,Scopus,2-s2.0-84888876752
"Bakunina I.A., Abramov-Maximov V.E., Nakariakov V.M., Lesovoy S.V., Soloviev A.A., Tikhomirov Y.V., Melnikov V.F., Shibasaki K., Nagovitsyn Y.A., Averina E.L.","6701318236;35725101300;7004252374;35724029200;57200755975;56781595100;7004349780;7006824270;6602151756;56010223100;","Long-period oscillations of sunspots by norh and SSRT observations",2013,"Publications of the Astronomical Society of Japan",13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892764315&doi=10.1093%2fpasj%2f65.sp1.S13&partnerID=40&md5=880db28236e905323802ba1f9f5bd17b","Long-term oscillations of microwave emission generated in sunspot magnetospheres are detected with the Nobeyama Radioheliograph (NoRH) at a frequency of 17 GHz, and the Siberian Solar Radio Telescope (SSRT) at 5.7 GHz. Significant periodicities in the range of 22-170 min are found in the variation of the emission intensity, polarisation and the degree of circular polarisation. Periods of the oscillations are not stable: they are different in different sunspots and in the same sunspot on different days. A cross-correlation analysis shows the presence of common significant periods in both NoRH and SSRT data. The cross-correlation coefficients are typically lower than 0.5, which can be attributed to the different heights of the emission formation, and different mechanisms for the emission generation (gyroresonance and thermal bremstrahlung at 17 GHz, and pure gyroresonance at 5.7 GHz). The observational results are consistent with the global sunspot oscillation model © 2013. Astronomical Society of Japan.","Sun: oscillations; Sun: radio radiation; Sun: sunspots",,"English",Article,Scopus,2-s2.0-84892764315
"Uvarina I.A.","55943705300;","Business model working diagram for a service oriented company",2013,"World Applied Sciences Journal",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888632942&doi=10.5829%2fidosi.wasj.2013.26.10.13566&partnerID=40&md5=32e8463823059eef5094718360bf811d","This paper offers a business process modeling solution for a service-oriented companies. The study is based on the learning the experience of different authors in service and business-model sphere and creating a typical business-model for a service -oriented company. The main identified challenges are the following: poor quality of the designing the business models of managers of service companies, in spite of the knowing that in the last years Russia is characterized by the widely development of the service sector. © IDOSI Publications, 2013.","Business model; Business-model canvas; Service-oriented companies",,"English",Article,Scopus,2-s2.0-84888632942
