Авторы,Идентификатор автора(ов),Название,Год,Название источника,Цитирования,Ссылка,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Язык оригинального документа,Тип документа,Источник,EID
"Podinovski V.V.","55996020400;","Decision making under uncertainty with unknown utility function and rank-ordered probabilities",2014,"European Journal of Operational Research",10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904644922&doi=10.1016%2fj.ejor.2014.05.023&partnerID=40&md5=c3e69d1659bd6c83768257a3b142cf52","We consider the ranking of decision alternatives in decision analysis problems under uncertainty, under very weak assumptions about the type of utility function and information about the probabilities of the states of nature. Namely, the following two assumptions are required for the suggested method: the utility function is in the class of increasing continuous functions, and the probabilities of the states of nature are rank-ordered. We develop a simple analytical method for the partial ranking of decision alternatives under the stated assumptions. This method does not require solving optimization programs and is free of the rounding errors. © 2014 Elsevier B.V. All rights reserved.","Decision analysis under uncertainty; Incomplete information; Utility theory","Decision making; Probability; Analytical method; Continuous functions; Decision making under uncertainty; Incomplete information; Optimization programs; Partial rankings; Utility functions; Utility theory; Decision theory","English",Article,Scopus,2-s2.0-84904644922
"Davydova Y., Sokolov V.","57195447992;53980556100;","The real effects of financial constraints: Evidence from a debt subsidization program targeted at strategic firms",2014,"Journal of Empirical Finance",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028173010&doi=10.1016%2fj.jempfin.2014.07.006&partnerID=40&md5=38c954527a85d2675516e4ee999e9fe5","We investigate the rationale and impact of the corporate debt subsidization program implemented by the Russian government during the recent financial crisis. Employing the difference-in-difference approach, we show that the program did not have a significant impact on capital investments of subsidy recipients, contrary to its intentions. We also find that a matched group of non-recipients on average exhibited a higher degree of cash hoarding behavior than subsidy-recipients in the post-program period, which suggests that the program eased external financial constraints of recipient-firms. Consistent with the theory on precautionary cash savings by firms, we further find that firms non-recipients based in cities with low banking development accumulated more cash holdings than recipients based in cities with a high banking development. Overall, our findings indicate that greater cash holdings are positively associated with the level of financial constraints of firms. © 2014 Elsevier B.V.","Banking development; Cash holdings; Crisis; Debt subsidy; Financial constraints; Strategic firms",,"English",Article,Scopus,2-s2.0-85028173010
"Danilov V.G., Gaydukov R.K., Kretov V.I., Rudnev V.Y.","7201827676;56034996400;55510762700;24077315600;","Modeling of liquid nuclei generation for field-emission silicon nanocathode",2014,"IEEE Transactions on Electron Devices",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919832320&doi=10.1109%2fTED.2014.2361168&partnerID=40&md5=6f85a9db2b3d982213f4a37e086acdcb","This paper presents the results of mathematical modeling of heat transfer in the field emission process in a conic cathode of small dimensions with its possible melting considered. It is shown that the possibility of melting is determined by the cathode vertex angle. The melting is modeled in the framework of the phase field system using the proposed methods for the formation of the liquid phase zone. © 2014 IEEE.","Field emission; heat transfer; melting and solidification; numerical simulation","Computer simulation; Field emission; Field emission cathodes; Heat transfer; Liquids; Melting; Emission process; Liquid Phase; Melting and solidification; Model of heat transfers; Phase fields; Vertex angle; Field emission displays","English",Article,Scopus,2-s2.0-84919832320
"Schwartz S.H., Butenko T.","7403606009;56453031700;","Values and behavior: Validating the refined value theory in Russia",2014,"European Journal of Social Psychology",41,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919343038&doi=10.1002%2fejsp.2053&partnerID=40&md5=b12cc5557555ca9d8c1c35d32f2d1071","Researchers recently introduced a refined theory of 19 basic human values. They demonstrated its utility and discriminant validity through associations with attitudes and beliefs, but not with behaviors. We assess the discriminant and predictive validity of the theory by examining associations of each value with everyday behaviors in a Russian sample. Two hundred sixty-six respondents reported their values and the frequency with which they performed each of the 85 everyday behaviors during the past year. We derived indexes of 19 latent value factors and of 19 latent behavior factors using confirmatory factor analysis. A confirmatory multidimensional scaling analysis arrayed the values, excepting benevolence, on the circular motivational continuum of the theory. Structural equation modeling analyses supported the discriminant and predictive validity of the theory. Of the 19 values, 18 correlated more positively with the behavior chosen a priori as likely to express it than with any other behavior, and all values correlated negatively with behaviors chosen to express motivationally opposed values. The patterns of correlation between the values and behaviors approximated the sinusoid curve implied by the motivational continuum of values in almost all cases. The study suggests that the same motivational compatibilities and conflicts that structure value relations largely organize relations among value-expressive behaviors. The study examines moderation of value-behavior relations by gender and tests the normative pressure explanation of variation in the strength of value-behavior relations across value domains. © 2014 John Wiley & Sons, Ltd.",,,"English",Article,Scopus,2-s2.0-84919343038
"Loyalka P., Carnoy M., Froumin I., Dossani R., Tilak J.B., Yang P.","36349333400;6701611241;36639433500;6507644849;6602571009;55925733200;","Factors affecting the quality of engineering education in the four largest emerging economies",2014,"Higher Education",14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939893061&doi=10.1007%2fs10734-014-9755-8&partnerID=40&md5=01a5fc4bfd5c63405a0f68d40baa3d33","A huge increase in engineering graduates from the BRIC countries in recent decades potentially threatens the competitiveness of developed countries in producing high value-added products and services, while also holding great promise for substantially increasing the level of global basic and applied innovation. The key question is whether the quality of these new BRIC engineers will be high enough to actualize this potential. The objective of our study is to assess the evolving capacity of BRIC higher education systems to produce qualified engineering graduates. To meet this objective, we compare developments in the quality of undergraduate engineering programs across elite and non-elite higher education tiers within and across each BRIC country. To assess and compare the quality of engineering education across the BRIC countries, we use multiple sources of primary and secondary data gathered from each BRIC country from 2008 to 2011. In combination with this, we utilize a production function approach that focuses on key input-, process- and outcome-based indicators associated with the quality of education programs. Our analysis suggests that in all four countries, a minority of engineering students receives high quality training in elite institutions while the majority of students receive low quality training in non-elite institutions. Our analysis also shows how the BRIC countries vary in their capacity to improve the quality of engineering education. © 2014, Springer Science+Business Media Dordrecht.","BRIC; Elite; Emerging economies; Engineering education; Quality",,"English",Article,Scopus,2-s2.0-84939893061
"Fehr E., Tougareva E., Fischbacher U.","56211794400;24323124500;6602649641;","Do high stakes and competition undermine fair behaviour? Evidence from Russia",2014,"Journal of Economic Behavior and Organization",11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916940688&doi=10.1016%2fj.jebo.2013.09.005&partnerID=40&md5=12069f9b784284c2c7368c394e4fe560","This paper reports the results of a series of competitive labour market experiments in which subjects have the possibility to reciprocate favours. In the high stake condition subjects earned between two and three times their monthly income during the experiment. In the normal stake condition the stake level was reduced by a factor of ten. We observe that both in the high and the normal stake condition fairness concerns are strong enough to outweigh competitive forces and give rise to non-competitive wages. There is also no evidence that effort behaviour becomes generally more selfish at higher stake levels. Therefore, our results suggest that fairness concerns may play an important role even at relatively high stake levels. © 2013 Elsevier B.V.","Competitive markets; Fairness; Incentives; Reciprocity; Stake size",,"English",Article,Scopus,2-s2.0-84916940688
"Butorina A., Prokofyev A., Nazarova M., Litvak V., Stroganova T.","56148977300;16317205200;57188643355;23995713600;7003845082;","The mirror illusion induces high gamma oscillations in the absence of movement",2014,"NeuroImage",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907666738&doi=10.1016%2fj.neuroimage.2014.09.024&partnerID=40&md5=0602eb35b307c5028f03822ac728895d","We tested whether mirror visual feedback (MVF) from a moving hand induced high gamma oscillation (HGO) response in the hemisphere contralateral to the mirror and ipsilateral to the self-paced movement. MEG was recorded in 14 subjects under three conditions: bilateral synchronous movements of both index fingers (BILATERAL), movements of the right hand index finger while observing the immobile left index finger (NOMIRROR), and movements of the right hand index finger while observing its mirror reflection (MIRROR). The right hemispheric spatiospectral regions of interests (ROIs) in the sensor space, sensitive to bilateral movements, were found by statistical comparison of the BILATERAL spectral responses to baseline. For these ROIs, the post-movement HGO responses were compared between the MIRROR and NOMIRROR conditions. We found that MVF from the moving hand, similarly to the real movements of the opposite hand, induced HGOs (55-85. Hz) in the sensorimotor cortex. This MVF effect was frequency-specific and did not spread to oscillations in other frequency bands. This is the first study demonstrating movement-related HGO induced by MVF from the moving hand in the absence of proprioceptive feedback signaling. Our findings support the hypothesis that MVF can trigger the feedback-based control processes specifically associated with perception of one's own movements. © 2014.","Hand movements; High gamma somatotopy; MEG; Mirror visual feedback; Sensorimotor cortex","adult; Article; brain function; controlled study; feedback system; female; gamma rhythm; hand movement; high frequency oscillation; human; human experiment; illusion; magnetoencephalography; male; mirror visual feedback; movement perception; normal human; proprioception; right hemisphere; sensorimotor cortex; task performance; visual feedback; brain; brain mapping; evoked visual response; gamma rhythm; hand; hemispheric dominance; movement (physiology); physiology; visual illusion; young adult; Adult; Brain; Brain Mapping; Evoked Potentials, Visual; Female; Functional Laterality; Gamma Rhythm; Hand; Humans; Magnetoencephalography; Male; Movement; Optical Illusions; Young Adult","English",Article,Scopus,2-s2.0-84907666738
"Lokhov A.Y., Valba O.V., Nechaev S.K., Tamm M.V.","55937171900;37100734000;7006930329;7006098030;","Topological transition in disordered planar matching: Combinatorial arcs expansion",2014,"Journal of Statistical Mechanics: Theory and Experiment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916613500&doi=10.1088%2f1742-5468%2f2014%2f12%2fP12004&partnerID=40&md5=957444fb71ea0bdfaf31e475d5f12bbe","In this paper, we investigate analytically the properties of the disordered Bernoulli model of planar matching. This model is characterized by a topological phase transition, yielding complete planar matching solutions only above a critical density threshold. We develop a combinatorial procedure of arcs expansion that explicitly takes into account the contribution of short arcs and allows us to obtain an accurate analytical estimation of the critical value by reducing the global constrained problem to a set of local ones. As an application to a toy representation of the RNA secondary structures, we suggest generalized models that incorporate a one-to-one correspondence between the contact matrix and the RNA-type sequence, thus giving sense to the notion of effective non-integer alphabets. © 2014 IOP Publishing Ltd and SISSA Medialab srl.","classical phase transitions (theory); disordered systems (theory); optimization over networks; structures and conformations (theory)",,"English",Article,Scopus,2-s2.0-84916613500
"Shiryaev A.N., Zhitlukhin M.V., Ziemba W.T.","7006804866;26538412000;6701417446;","When to sell apple and the NASDAQ? Trading bubbles with a stochastic disorder model",2014,"Journal of Portfolio Management",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894860136&doi=10.3905%2fjpm.2014.40.2.054&partnerID=40&md5=4c7899b06fe9594f045585f6f7931e1e",[краткое описание не найдено],,,"English",Article,Scopus,2-s2.0-84894860136
"Budkov Y.A., Vyalov I.I., Kolesnikov A.L., Georgi N., Chuev G.N., Kiselev M.G.","46861146000;26658835400;56258168600;35336260400;6603743457;7005285779;","The local phase transitions of the solvent in the neighborhood of a solvophobic polymer at high pressures",2014,"Journal of Chemical Physics",11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913597370&doi=10.1063%2f1.4902092&partnerID=40&md5=61053fc41fbc39ce43c01cb6a448ab80","We investigate local phase transitions of the solvent in the neighborhood of a solvophobic polymer chain which is induced by a change of the polymer-solvent repulsion and the solvent pressure in the bulk solution. We describe the polymer in solution by the Edwards model, where the conditional partition function of the polymer chain at a fixed radius of gyration is described by a mean-field theory. The contributions of the polymer-solvent and the solvent-solvent interactions to the total free energy are described within the mean-field approximation. We obtain the total free energy of the solution as a function of the radius of gyration and the average solvent number density within the gyration volume. The resulting system of coupled equations is solved varying the polymer-solvent repulsion strength at high solvent pressure in the bulk. We show that the coil-globule (globule-coil) transition occurs accompanied by a local solvent evaporation (condensation) within the gyration volume. © 2014 AIP Publishing LLC.",,"Free energy; Mean field theory; Polymers; Self assembly; Local phase transition; Mean field approximation; Partition functions; Polymer in solution; Radius of gyration; Solvent evaporation; Solvent-solvent interactions; Solvophobic polymers; Solvents","English",Article,Scopus,2-s2.0-84913597370
"Alcaraz F.C., Pyatov P., Rittenberg V.","7005418348;56167916200;22994218300;","Stochastic processes with ZN symmetry and complex Virasoro representations. the partition functions",2014,"Journal of Physics A: Mathematical and Theoretical",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910050647&doi=10.1088%2f1751-8113%2f47%2f46%2f462001&partnerID=40&md5=1e827d7d8a90764dfb8fbdd35f2bece8","In a previous letter (Alcaraz F C et al 2014 J. Phys. A: Math. Theor. 47 212003) we have presented numerical evidence that a Hamiltonian expressed in terms of the generators of the periodic Temperley-Lieb algebra has, in the finite-size scaling limit, a spectrum given by representations of the Virasoro algebra with complex highest weights. This Hamiltonian defines a stochastic process with a ZN symmetry. We give here analytical expressions for the partition functions for this system which confirm the numerics. For N even, the Hamiltonian has a symmetry which makes the spectrum doubly degenerate leading to two independent stochastic processes. The existence of a complex spectrum leads to an oscillating approach to the stationary state. This phenomenon is illustrated by an example. © 2014 IOP Publishing Ltd.","stochastic process; Temperley-Lieb algebras; Virasoro algebra",,"English",Article,Scopus,2-s2.0-84910050647
"Kolesnikov A.L., Budkov Y.A., Nogovitsyn E.A.","56258168600;46861146000;6506583276;","Coarse-grained model of glycosaminoglycans in aqueous salt solutions. A field-theoretical approach",2014,"Journal of Physical Chemistry B",9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913537074&doi=10.1021%2fjp503749a&partnerID=40&md5=55782d038c833c690e98c4f6bd1a7c48","We present results of self-consistent field calculations of thermodynamic and structural properties of glycosaminoglycans (chondroitin sulfate, hyaluronic acid, and heparin) in aqueous solutions with added monovalent and divalent salts. A semiphenomenological coarse-grained model for semiflexible polyelectrolyte chains in solution is proposed. The coarse-grained model permits one to focus on the essential features of these systems and provides significant computational advantages with respect to more detailed models. Our approach relies on the method of Gaussian equivalent representation for the calculation of the partition functions in the form of functional integrals. This method provides reliable thermodynamic information for polyelectrolyte solutions over wide ranges of monomer concentrations. In the present work, we use the comparison and fitting of the experimental osmotic pressure with a theoretical equation of state within the Gaussian equivalent representation. The degrees of ionization, radii of gyration, persistence lengths, and structure factors of chondroitin sulfate, hyaluronic acid, and heparin in aqueous solutions with added monovalent and divalent salts are calculated and discussed. (Graph Presented). © 2014 American Chemical Society.",,"Equations of state; Organic acids; Osmosis; Physical chemistry; Polyelectrolytes; Salts; Solutions; Coarse grained models; Computational advantages; Degrees of ionization; Polyelectrolyte chain; Polyelectrolyte solutions; Self-consistent field calculations; Thermodynamic and structural properties; Thermodynamic information; Hyaluronic acid; electrolyte; glycosaminoglycan; inorganic salt; solution and solubility; water; chemistry; kinetics; solution and solubility; theoretical model; thermodynamics; Electrolytes; Glycosaminoglycans; Kinetics; Models, Theoretical; Salts; Solutions; Thermodynamics; Water","English",Article,Scopus,2-s2.0-84913537074
