Авторы,Идентификатор автора(ов),Название,Год,Название источника,Цитирования,Ссылка,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Язык оригинального документа,Тип документа,Источник,EID
"Scuotto V., Caputo F., Villasalero M., Del Giudice M.",55960201200;57189995566;36663157100;54412034700;,A multiple buyer–supplier relationship in the context of SMEs’ digital supply chain management*,2017,Production Planning and Control,7.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030979312&doi=10.1080%2f09537287.2017.1375149&partnerID=40&md5=9d52185b25ba956c12dbdf3fe4a94167,"By underlining the relevance of the use of ICTs, knowledge sharing and electronic markets for SMEs, it emerges the need for stimulating a debate on digitisation process of supply chain management (SCM). Electronic infrastructure in the service sector are reducing each kind of cost and improving multiply buyer–supplier relationships, facilitating negotiations and transactions. However, since the coordination costs are still high, the use of ICTs is limited. This phenomenon thus attracts the interests of scholars and practitioners. Although it still needs to further investigate. Especially, the optimal use of ICTs within SMEs’ SCM have not been studied yet. Therefore, by leveraging on four proxies: ICTs specialised human resources, knowledge sharing activities, buyer–supplier relationships, adoption of electronic markets this optimal was analysed via structural equation modelling based on a sample of 1254 SMEs operating in the service sector in Italy. © 2017 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","digitisation; Information and communication technology; multiply buyer–supply relationship, SMEs; supply chain management",Commerce; Electronic commerce; Information management; Knowledge management; Sales; Coordination costs; Digital supply chain; Digitisation; Electronic infrastructure; Information and Communication Technologies; Structural equation modelling; Supplier relationships; Supply chain managements (SCM); Supply chain management,English,Article,Scopus,2-s2.0-85030979312
"Schmalz X., Porshnev A., Marinus E.",55575415200;56109471800;24483320000;,Two distinct parsing stages in nonword reading aloud: Evidence from Russian,2017,Quarterly Journal of Experimental Psychology,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992481925&doi=10.1080%2f17470218.2016.1247895&partnerID=40&md5=8b6e2302a46621310ae5a20d90545a42,"Word reading partly depends on the activation of sublexical letter clusters. Previous research has studied which types of letter clusters have psychological saliency, but less is known about cognitive mechanisms of letter string parsing. Here, we take advantage of the high degree of context-dependency of the Russian orthography to examine whether consonant–vowel (CV) clusters are treated as units in two stages of sublexical processing. In two experiments using a nonword reading task, we use two orthogonal manipulations: (a) insertion of a visual disruptor (#) to assess whether CV clusters are kept intact during the early visual parsing stage, and (b) presence of context-dependent grapheme–phoneme correspondences (GPCs; e.g., л[а] → /l/; л[я] → /lj/), to assess whether CV clusters remain intact or are split during the print-to-speech conversion stage. The results suggest that although CV clusters are initially processed as perceptual units in the early visual parsing stage, letters and not CV clusters drive print-to-speech conversion. © 2016 The Experimental Psychology Society.",Letters; Nonwords; Reading; Sublexical processing; Whammies,attention; auditory stimulation; female; hearing; human; male; phonetics; photostimulation; physiology; reaction time; reading; Russian Federation; speech; student; university; vision; vocabulary; Acoustic Stimulation; Attention; Auditory Perception; Female; Humans; Male; Phonetics; Photic Stimulation; Reaction Time; Reading; Russia; Speech; Students; Universities; Visual Perception; Vocabulary,English,Article,Scopus,2-s2.0-84992481925
"Lukinskiy V., Lukinskiy V.",56151945100;55822287500;,Efficiency increase models of two-level echelon logistic systems,2017,Transport and Telecommunication,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042747315&doi=10.1515%2fttj-2017-0028&partnerID=40&md5=9d4fdd1348177278bc4307cdda42e05d,"In this article we deal with the approach to logistic systems efficiency increase on the basis of various forms of logistic integration development in supply chains, with modified variants of model of economic order quantity for the echelon two-level systems which allow considering the costs correlations at the different system levels, the different stock warehousing strategies, the multi-nomenclature of orders. The appropriate calculations have been done for the suggested modified models approbation. © 2017 Transport and Telecommunication Institute. All rights reserved.",Economic order quantity model; Inventory disposition; Logistics system; Supply chain,,English,Article,Scopus,2-s2.0-85042747315
"Zaytsev D., Belyaeva N.",57191168805;55953796200;,"Determinants of the policy impact of analytical communities in Russian regions: Cases of Karelia, Tatarstan and Saratov",2017,Central European Journal of Public Policy,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037685893&doi=10.1515%2fcejpp-2016-0033&partnerID=40&md5=a24b00915ef824c2fb8fb412f4897ff1,"This paper evaluates the policy impact of analytical communities in three Russian regions (Karelia, Tatarstan and Saratov). Based on the existing methods to assess the political power of think tanks, the authors develop a method to evaluate this impact. The authors test this method using the empirical data and findings from interviews, workshops with representatives of analytical communities of the three regions, and from observations and assessments of experts in regional politics. In conclusion, the authors argue that the capacity of analytical communities to impact policy change in a region depends on the level of political competition and pluralism and democratic institutions in the region; the level of consolidation of the analytical community, its autonomous political status and authority. © 2017, Faculty of Social Sciences.",Analytical communities; Influence; Policy impact; Political power; Think tanks,,English,Article,Scopus,2-s2.0-85037685893
Motorin V.,57159905300;,Enhancing the distance minimization methods of matrix updating within a homothetic paradigm,2017,Journal of Economic Structures,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036634929&doi=10.1186%2fs40008-017-0094-7&partnerID=40&md5=abd67f7ef9753b19c8d76bda9d3e5bca,"Matrix updating methods are used for constructing the target matrix with the prescribed row and column marginal totals that demonstrates the highest possible level of its structural similarity to initial matrix given. A concept of structural similarity has a vague framework that can be slightly refined under considering a particular case of strict proportionality between row and column marginal totals for target and initial matrices. Here the question arises: can we accept the initial matrix homothety as optimal solution for proportionality case of matrix-updating problem? In most practical situations, an affirmative answer to the question is almost obvious. It is natural to call this common notion by homothetic paradigm and to refer its checking as homothetic testing. Some well-known methods for matrix updating serve as an additional instrumental confirmation to validity of homothetic paradigm. It is shown that RAS method and Kuroda’s method pass through the homothetic test successfully. Homothetic paradigm can be helpful for enhancing a collection of matrix updating methods based on constrained minimization of the distance functions. Main attention is paid to improving the methods with weighted squared differences (both regular and relative) as an objective function. As an instance of a incorrigible failure in the homothetic testing, the GRAS method for updating the economic matrices with some negative entries is analyzed in details. A collection of illustrative numerical examples and some recommendations for method’s choice are given. © 2017, The Author(s).",GRAS method; Homothetic paradigm and testing; Kullback–Leibler divergence; Matrix updating methods; Methods of weighted squared differences; RAS and Kuroda’s methods,,English,Article,Scopus,2-s2.0-85036634929
Dyachenko E.L.,35236625800;,"Correction to: Internal migration of scientists in Russia and the USA: the case of physicists (Scientometrics, (2017), 113, (105-122), 10.1007/s11192-017-2478-8)",2017,Scientometrics,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031926592&doi=10.1007%2fs11192-017-2553-1&partnerID=40&md5=9fc58f20918bd3a142d4b2ab309e4ae3,"The original article was published without an acknowledgment section. The complete acknowledgment section is given below. Acknowledgements This study was conducted within the framework of the Basic Research Program at the National Research University Higher School of Economics (HSE) and supported within the implementation of the HSE 5-100 Program Roadmap. © 2017, Akadémiai Kiadó, Budapest, Hungary.",,,English,Erratum,Scopus,2-s2.0-85031926592
"Zinchenko O., Enikolopova E.",57197767468;6506009171;,The Impact of Executive Functions and Emotional Intelligence on Iowa Gambling Task Performance: Focus on Right Frontal Lobe Damage,2017,Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053936954&doi=10.1093%2farclin%2facx065&partnerID=40&md5=9cefb4aa6753371ae9c38f3b7af199cf,"Objective: Decision-making in the Iowa Gambling Task (IGT) has been intensively studied regarding both the ""hot"" and ""cold"" components. The ventromedial prefrontal cortex is a key region involved in processing somatic marker information, though recent findings suggest dorsolateral regions are also important. The dorsolateral prefrontal cortex is also known as a substrate of executive functions-the cold component of decision-making. However, there is contradictory evidence about the role of executive functions, as well as the hot component of decision-making-emotional intelligence. Previous findings suggest that patients with right frontal lobe lesions find decision-making more problematic in IGT. The goal of this study is to replicate previous findings on IGT performance in patients with dorsolateral lesions compared to controls.Methods: We obtained data from patients with right frontal lobe tumors (n = 12), localized in the dorsolateral prefrontal cortex, and healthy controls (n = 21) who undertook the IGT, Wisconsin Card Sorting Test (WCST), Mayer-Salovey-Caruso Emotional Intelligence Test (MSCEIT), and D-KEFS Color-Word Interference Test.Results: The performance in the IGT, WCST, and EI tests is impaired in the clinical group. At the subgroup level, we found patients had lower EI scores regarding the ability to use ""emotions for thinking facilitation"". However, we found an interaction between the EI scores regarding the ability ""the perception and identification of emotions"" and the performance on WCST only in the patient group.Conclusion: This study raises the possibility of identifying components of EI which could be helpful in understanding the impairment of patients with right dorsolateral lesions. © The Author 2017. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.",Emotional intelligence; Executive functions; Iowa Gambling Task; Lateral prefrontal cortex; Right frontal lobe tumor; Tumor patients,adolescent; adult; brain injury; decision making; emotion; executive function; female; gambling; human; male; middle aged; neuropsychological test; pathology; pathophysiology; physiology; prefrontal cortex; psychology; regression analysis; young adult; Adolescent; Adult; Brain Injuries; Decision Making; Emotions; Executive Function; Female; Gambling; Humans; Male; Middle Aged; Neuropsychological Tests; Prefrontal Cortex; Regression Analysis; Young Adult,English,Article,Scopus,2-s2.0-85053936954
"Timonin S., Danilova I., Andreev E., Shkolnikov V.M.",55058982600;57188698964;7005279598;7003725149;,Recent Mortality Trend Reversal in Russia: Are Regions Following the Same Tempo?,2017,European Journal of Population,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034645837&doi=10.1007%2fs10680-017-9451-3&partnerID=40&md5=53ac95060964bddec2a51964a7cd9d6d,"After several decades of negative trends and short-term fluctuations, life expectancy has been increasing in Russia since 2004. Between 2003 and 2014, the length of life rose by 6.6 years among males and by 4.6 years among females. While positive trends in life expectancy are observed in all regions of Russia, these trends are unfolding differently in different regions. First, regions entered the phase of life expectancy growth at different points in time. Second, the age- and cause-specific components of the gains in life expectancy and the number of years added vary noticeably. In this paper, we apply decomposition techniques—specifically, the stepwise replacement algorithm—to examine the age- and cause-specific components of the changes in inter-regional disparities during the current period of health improvement. The absolute inter-regional disparities in length of life, measured by the population-weighted standard deviation, decreased slightly between 2003 and 2014, from 3.3 to 3.2 years for males, and from 2.0 to 1.8 years for females. The decomposition of these small changes by ages and causes of death shows that these shifts were the result of diverse effects of mortality convergence at young and middle ages, and of mortality divergence at older ages. With respect to causes of death, the convergence is mainly attributable to external causes, while the inter-regional divergence of trends is largely determined by cardiovascular diseases. The two major cities, Moscow and Saint Petersburg, are currently pioneering mortality improvements in Russia and are making the largest contributions to the inter-regional divergence. © 2017, The Author(s).",Causes of death; Decomposition; Mortality disparities; Regions of Russia,algorithm; cardiovascular disease; elderly population; mortality; population decline; trend analysis; young population; Leningrad; Moscow [Moscow (ADS)]; Moscow [Russian Federation]; Russian Federation; Saint Petersburg,English,Article,Scopus,2-s2.0-85034645837
"Sánchez-Torres J.M., Miles I.",36701795600;7003911939;,The role of future-oriented technology analysis in e-Government: a systematic review,2017,European Journal of Futures Research,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041623584&doi=10.1007%2fs40309-017-0131-7&partnerID=40&md5=9c915a2a3a0651772eedc9f3bde923d3,"During the last three decades, many governments have incorporated Information and Communication Technologies in their internal and external processes, a phenomenon widely known as electronic government (e-Government). Rationales for e-Government include increasing public services’ efficiency, speed, transparency, accountability, etc., and enhancing relations between government and stakeholders (citizens, businesses, third sector organisations). e-Government programmes are large-scale innovation projects; and Future-oriented Technology Analysis, FTA, is often used in the design of public policies in science, technology and innovation. FTA tools allow for systematic appraisal of potential challenges, opportunities, and threats, and thus informing the design of long-term strategies. The aim of this paper is to examine what a systematic literature review tells us about the application of FTA to support e-Government planning, implementation or evaluation. The review confirms that FTA played a role in supporting some e-Government initiatives, especially in their planning stages. However, few relevant exercises of this sort are reported in the English language, though the e-Government literature itself in that language- is voluminous. Previous researchers often attribute weaknesses in e-Government efforts to deficiencies in vision and strategic planning. Hopefully, this review can encourage both FTA and e-Government practitioners to apply FTA to e-Government development. This suggests that there is both opportunity and need to take greater advantage of FTA in this field. © 2017, The Author(s).",Digital government; e-Government; Foresight; Future-oriented technology analysis; Open government,,English,Article,Scopus,2-s2.0-85041623584
"Fronteddu G., Alòs i Font H., Tyers F.M.",57200317159;56990043700;36474191000;,Machine translation from Catalan to Sardinian: a translation tool for a language in the process of standardisation [Una eina per a una llengua en procés d’estandardització: el traductor automàtic català–sard],2017,Linguamatica,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040793079&doi=10.21814%2flm.9.2.255&partnerID=40&md5=10d8609041c119c26b615f71b134b5cf,"This article describes the development of a free/open-source rule-based machine translation system for Catalan to Sardinian based on the Apertium platform. Special attention is given to the components of the system related with transfer (structural and lexical) and lexical selection, drawing attention to issues stemming from the current state of the Sardinian written norm. The system has a word-error rate (WER) of 20.5% and a position-independent word-error rate (PER) of 13.9%. We analyse the remaining errors by doing a qualitative analysis of the translation of four articles from the encyclopaedic domain.",Apertium; Catalan; Language standardisation; Machine translation; RBMT; Sardinian,,Catalan,Article,Scopus,2-s2.0-85040793079
"Salgado-Barandela J., Barajas A., Sánchez-Fernández P.",57200110966;35572693800;36742548700;,Economic impact of sport: Topic of growing interest for the scientific literature [Impacto económico del deporte: Tema de interés creciente en la literatura científica],2017,Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039749807&doi=10.15366%2frimcafd2017.68.010&partnerID=40&md5=3e4b2d44d120c751e856301d669d51f9,"The study of the economic impact on the sport as a scientific discipline was born for the identification of the economic benefits of major sports events. Its evolution has led to broader approaches. It has been applied to the study not only of the economic aspect but also the intangible effects in both large and small events, in facilities and franchises. In the present work, the evolution of the study the economic impact of sport science is analyzed using bibliometric during the period 1984-2013. The results from these analyses have been used to prepare a questionnaire in order to get the perception of experts in the field on key aspects of research in the scientific issues. From the work, it can be concluded that the economic impact of sport science is capable of evolution in the area of economics of sport and in a complementary manner in other areas. In addition, this kind of studies has a clear practical application for improving the management of sports events and sporting facilities. © 2017, Universidad Autonoma de Madrid y CV Ciencias del Deporte. All rights reserved.",Bibliometric analysis; Economic impact; Sports economics; Sports events,economics; human; human experiment; perception; questionnaire; scientific literature; sport,English,Review,Scopus,2-s2.0-85039749807
